doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
shopee-return-refund-policy,data/shopee_ecommerce/shopee-return-refund-policy.md,Chính sách trả hàng và hoàn tiền Shopee,https://help.shopee.vn/portal/4/article/77251,2026-08-03,not-stated,public-page
shopee-return-conditions,data/shopee_ecommerce/shopee-return-conditions.md,Điều kiện và lý do trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/188931,2026-08-03,not-stated,public-page
shopee-return-request-process,data/shopee_ecommerce/shopee-return-request-process.md,Quy trình gửi yêu cầu trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/190242,2026-08-03,not-stated,public-page
shopee-payment-methods,data/shopee_ecommerce/shopee-payment-methods.md,Các phương thức thanh toán trên Shopee,https://help.shopee.vn/portal/article/1014?locale=vi_VN,2026-08-03,not-stated,public-page
shopee-cod-eligibility,data/shopee_ecommerce/shopee-cod-eligibility.md,Điều kiện thanh toán khi nhận hàng (COD) trên Shopee,https://help.shopee.vn/portal/article/1013?locale=vi_VN,2026-08-03,not-stated,public-page
shopee-seller-listing-policy,data/shopee_ecommerce/shopee-seller-listing-policy.md,Quy định về đăng bán sản phẩm trên Shopee,https://help.shopee.vn/portal/4/article/77246,2026-08-03,2024-08-14,public-page
shopee-prohibited-products-policy,data/shopee_ecommerce/shopee-prohibited-products-policy.md,Chính sách cấm và hạn chế sản phẩm trên Shopee,https://help.shopee.vn/portal/4/article/77247,2026-08-03,not-stated,public-page
shopee-shipping-policy,data/shopee_ecommerce/shopee-shipping-policy.md,Chính sách vận chuyển Shopee,https://help.shopee.vn/portal/4/article/77250,2026-08-03,not-stated,public-page
