doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
return-refund-policy,data/shopee-return-policy/return-refund-policy.md,Chính sách trả hàng và hoàn tiền Shopee,https://help.shopee.vn/portal/4/article/77251,2026-08-03,not-stated,public-page
return-conditions,data/shopee-return-policy/return-conditions.md,Điều kiện và lý do trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/188931,2026-08-03,not-stated,public-page
return-request-process,data/shopee-return-policy/return-request-process.md,Quy trình gửi yêu cầu trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/190242,2026-08-03,not-stated,public-page
